f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.4107883817427386,0.6130030959752322,0.4740740740740741,flan-t5-xxl,0.3088923556942278,198-125-314-443,0_prompt,False,5,,,,,,,,,,,0.4107883817427386,,,,
0.37538461538461537,0.61,0.4361111111111111,flan-t5-xxl,0.27111111111111114,183-117-288-492,0_prompt,False,4,,,,,,,,,,,0.37538461538461537,,,,
0.36480686695278974,0.576271186440678,0.45185185185185184,flan-t5-xxl,0.2668759811616955,170-125-318-467,0_prompt,False,3,,,,,,,,,,,0.36480686695278974,,,,
0.33986928104575165,0.5591397849462365,0.4388888888888889,flan-t5-xxl,0.24413145539906103,156-123-318-483,0_prompt,False,2,,,,,,,,,,,0.33986928104575165,,,,
0.3608017817371938,0.5664335664335665,0.4685185185185185,flan-t5-xxl,0.2647058823529412,162-124-344-450,0_prompt,False,1,,,,,,,,,,,0.3608017817371938,,,,
0.4069431051108968,0.6698412698412698,0.4305555555555556,flan-t5-xxl,0.2922437673130194,211-104-254-511,0_prompt,False,0,,,,,,,,,,,0.4069431051108968,,,,
0.47260273972602734,0.5564516129032258,0.5722222222222222,flan-t5-xxl,0.4107142857142857,207-165-411-297,4_prompt,False,5,,,,,,,,,,,,0.47260273972602734,,,
0.4767726161369193,0.5186170212765957,0.6037037037037037,flan-t5-xxl,0.4411764705882353,195-181-457-247,4_prompt,False,4,,,,,,,,,,,,0.4767726161369193,,,
0.4880952380952381,0.5481283422459893,0.6018518518518519,flan-t5-xxl,0.43991416309012876,205-169-445-261,4_prompt,False,3,,,,,,,,,,,,0.4880952380952381,,,
0.5145118733509235,0.5227882037533512,0.6592592592592592,flan-t5-xxl,0.5064935064935064,195-178-517-190,4_prompt,False,2,,,,,,,,,,,,0.5145118733509235,,,
0.5594594594594595,0.5461741424802111,0.6981481481481482,flan-t5-xxl,0.5734072022160664,207-172-547-154,4_prompt,False,1,,,,,,,,,,,,0.5594594594594595,,,
0.5848623853211009,0.6763925729442971,0.6648148148148149,flan-t5-xxl,0.5151515151515151,255-122-463-240,4_prompt,False,0,,,,,,,,,,,,0.5848623853211009,,,
0.5261984392419174,0.6430517711171662,0.6064814814814815,flan-t5-xxl,0.44528301886792454,236-131-419-294,2_prompt,False,5,,,,,,,,,,,,,0.5261984392419174,,
0.5290763968072977,0.6304347826086957,0.6175925925925926,flan-t5-xxl,0.45579567779960706,232-136-435-277,2_prompt,False,4,,,,,,,,,,,,,0.5290763968072977,,
0.5309941520467836,0.6135135135135135,0.6287037037037037,flan-t5-xxl,0.46804123711340206,227-143-452-258,2_prompt,False,3,,,,,,,,,,,,,0.5309941520467836,,
0.5239179954441914,0.6182795698924731,0.6129629629629629,flan-t5-xxl,0.45454545454545453,230-142-432-276,2_prompt,False,2,,,,,,,,,,,,,0.5239179954441914,,
0.5510907003444316,0.6434316353887399,0.637962962962963,flan-t5-xxl,0.4819277108433735,240-133-449-258,2_prompt,False,1,,,,,,,,,,,,,0.5510907003444316,,
0.5977777777777777,0.7116402116402116,0.6648148148148149,flan-t5-xxl,0.5153256704980843,269-109-449-253,2_prompt,False,0,,,,,,,,,,,,,0.5977777777777777,,
0.4936170212765958,0.6373626373626373,0.5592592592592592,flan-t5-xxl,0.4027777777777778,232-132-372-344,3_prompt,False,5,,,,,,,,,,,,,,0.4936170212765958,
0.49190938511326865,0.6246575342465753,0.5638888888888889,flan-t5-xxl,0.40569395017793597,228-137-381-334,3_prompt,False,4,,,,,,,,,,,,,,0.49190938511326865,
0.49607182940516276,0.6054794520547945,0.5842592592592593,flan-t5-xxl,0.42015209125475284,221-144-410-305,3_prompt,False,3,,,,,,,,,,,,,,0.49607182940516276,
0.5224586288416075,0.5924932975871313,0.6259259259259259,flan-t5-xxl,0.46723044397463004,221-152-455-252,3_prompt,False,2,,,,,,,,,,,,,,0.5224586288416075,
0.5151832460732985,0.6721311475409836,0.5712962962962963,flan-t5-xxl,0.41765704584040747,246-120-371-343,3_prompt,False,1,,,,,,,,,,,,,,0.5151832460732985,
0.5431119920713577,0.7506849315068493,0.5731481481481482,flan-t5-xxl,0.4254658385093168,274-91-345-370,3_prompt,False,0,,,,,,,,,,,,,,0.5431119920713577,
0.5488257107540173,0.5873015873015873,0.6620370370370371,flan-t5-xxl,0.5150812064965197,222-156-493-209,1_prompt,False,5,,,,,,,,,,,,,,,0.5488257107540173
0.549738219895288,0.5555555555555556,0.6814814814814815,flan-t5-xxl,0.5440414507772021,210-168-526-176,1_prompt,False,4,,,,,,,,,,,,,,,0.549738219895288
0.5595716198125836,0.5529100529100529,0.6953703703703704,flan-t5-xxl,0.5663956639566395,209-169-542-160,1_prompt,False,3,,,,,,,,,,,,,,,0.5595716198125836
0.5681159420289855,0.5077720207253886,0.7240740740740741,flan-t5-xxl,0.6447368421052632,196-190-586-108,1_prompt,False,2,,,,,,,,,,,,,,,0.5681159420289855
0.6014184397163119,0.5492227979274611,0.7398148148148148,flan-t5-xxl,0.664576802507837,212-174-587-107,1_prompt,False,1,,,,,,,,,,,,,,,0.6014184397163119
0.6520681265206812,0.6907216494845361,0.7351851851851852,flan-t5-xxl,0.6175115207373272,268-120-526-166,1_prompt,False,0,,,,,,,,,,,,,,,0.6520681265206812
